SEASON,NAME,TEAM,POS,GP,H,HR,BB,K,WAR
2021,Trea Turner,LAD/WSH,2B,148,195,28,41,110,6.5
2021,Frank Schwindel,OAK/CHC,1B,64,79,14,16,41,1.7
2021,Yuli Gurriel ,HOU,1B,143,169,15,59,68,3.7
2021,Juan Soto ,WSH,LF,151,157,29,145,93,7
2021,Michael Brantley ,HOU,LF,121,146,8,33,53,2.5
2021,Vladimir Guerrero Jr. ,TOR,1B,161,188,48,86,110,6.8
2021,Bryce Harper,PHI,RF,141,151,35,100,134,5.9
2021,Tim Anderson,CHW,SS,123,163,17,22,119,4.6
2021,Nick Castellanos,CIN,RF,138,164,34,41,121,3.3
2021,Starling Marte,OAK/MIA,CF,120,144,12,43,99,4.7
2021,Adam Frazier ,PIT/SD,2B,155,176,5,48,69,4
2021,Austin Riley,ATL,3B,160,179,33,52,168,6.1
2021,Bryan Reynolds,PIT,LF,159,169,24,75,119,6
2021,Freddie Freeman,ATL,1B,159,180,31,85,107,4.7
2021,Nicky Lopez,KC,2B,151,149,2,49,74,4.2
2021,Bo Bichette,TOR,SS,159,191,29,40,137,6
2021,Brandon Crawford,SF,SS,139,144,24,56,105,6.1
2021,Teoscar Hernandez,TOR,RF,143,163,32,36,148,4
2021,Xander Bogaerts,BOS,SS,144,156,23,62,113,4.9
2021,Kyle Tucker,HOU,RF,140,149,30,53,90,5.7
2021,Paul Goldschmidt,STL,1B,158,177,31,67,136,6.2
2021,Ty France,SEA,3B,152,166,18,46,106,4.2
2021,Cedric Mullins,BAL,CF,159,175,30,59,125,5.7
2021,Jean Segura,PHI,SS,131,149,14,39,78,3.7
2021,Alex Verdugo,BOS,LF,146,157,13,51,96,2.2
2021,Wander Franco,TB,SS,70,81,7,24,37,3.5
2021,Aaron Judge,NYY,RF,148,158,39,75,158,5.9
2021,Tyler O'Neill,STL,LF,141,138,34,38,168,6.3
2021,J.D. Martinez,BOS,DH,148,163,28,55,150,3
2021,Fernando Tatis Jr.,SD,SS,130,135,42,62,153,6.6
2021,Amed Rosario,CLE,SS,141,155,11,31,120,2.1
2021,C.J. Cron,COL,1B,142,132,28,60,117,3.4
2021,Carlos Correa,HOU,SS,148,155,26,75,116,7.2
2021,Josh Harrison,OAK/WSH,2B,138,141,8,31,75,2
2021,Rafael Devers,BOS,3B,156,165,38,62,143,3.5
2021,Manny Machado,SD,3B,153,157,28,63,102,5.1
2021,Jonathan Schoop,DET,2B,156,173,22,37,133,2.1
2021,Justin Turner,LAD,3B,151,148,27,61,98,3.7
2021,Yordan Alvarez,HOU,DH,144,149,33,50,145,3.2
2021,Jose Altuve,HOU,2B,146,167,31,66,91,4.4
2021,Jared Walsh,LAA,1B,144,147,29,48,152,2.9
2021,Whit Merrifield,KC,RF,162,184,10,40,103,3.5
2021,Lourdes Gurriel Jr.,TOR,LF,141,138,21,32,102,2.8
2021,Andrew Benintendi,KC,LF,134,136,17,36,97,2.4
2021,Randy Arozarena,TB,RF,142,145,20,56,170,4.2
2021,Raimel Tapia,COL,LF,133,133,6,40,70,1
2021,J.P. Crawford,SEA,SS,160,169,9,58,114,3.8
2021,Salvador Perez,KC,C,161,169,48,28,170,5.3
2021,Giancarlo Stanton,NYY,DH,140,139,35,63,157,3.1
2021,Myles Straw,CLE/HOU,CF,158,153,4,67,121,3.3
2021,Jose Iglesias,BOS/LAA,SS,137,131,9,21,75,-0.6
2021,Jeimer Candelario,DET,3B,149,151,16,65,135,3.7
2021,Isiah Kiner-Falefa,TEX,3B,158,172,8,28,90,4
2021,Matt Olson,OAK,1B,156,153,39,88,113,5.8
2021,Charlie Blackmon,COL,RF,150,139,13,54,91,0.9
2021,Eric Hosmer,SD,1B,151,137,12,48,99,1
2021,Jonathan India,CIN,3B,150,143,21,71,141,3.9
2021,Jorge Polanco,MIN,SS,152,158,33,45,118,4.8
2021,DJ LeMahieu,NYY,2B,150,160,10,73,94,1.5
2021,Pavin Smith,ARI,1B,145,133,11,42,106,-0.2
2021,Jake Cronenworth,SD,2B,152,151,21,55,90,4.8
2021,Jose Ramirez,CLE,3B,152,147,36,72,87,6.7
2021,Dylan Carlson,STL,RF,151,144,18,57,152,3.2
2021,Joey Votto,CIN,1B,129,119,36,77,127,3.3
2021,Marcus Semien,TOR,2B,162,173,45,66,146,7.1
2021,Nelson Cruz,MIN/TB,DH,146,136,32,51,126,2.5
2021,Corbin Burnes,MIL,SP,28,123,7,34,234,5.6
2021,Max Scherzer,LAD/WSH,SP,30,119,23,36,236,6
2021,Walker Buehler,LAD,SP,33,149,19,52,212,6.7
2021,Brandon Woodruff,MIL,SP,30,130,18,43,211,5.6
2021,Zack Wheeler,PHI,SP,32,169,16,46,247,7.6
2021,Kevin Gausman,SF,SP,34,150,20,50,227,5.2
2021,Robbie Ray,TOR,SP,32,150,33,52,248,6.7
2021,Julio Urias,LAD,SP,32,151,19,38,195,4.4
2021,Marcus Stroman,NYM,SP,33,161,17,44,158,3.3
2021,Max Fried,ATL,SP,28,139,15,41,158,4.7
2021,Adam Wainwright,STL,SP,32,168,21,50,174,3.5
2021,Lance McCullers Jr.,HOU,SP,28,122,13,76,185,3.5
2021,Anthony DeSclafani,SF,SP,31,141,19,42,152,4.1
2021,Joe Musgrove,SD,SP,40,142,22,54,203,3.5
2021,Sandy Alcantara,MIA,SP,33,171,21,50,201,4.1
2021,Gerrit Cole,NYY,SP,30,151,24,41,243,5.6
2021,Charlie Morton,ATL,SP,33,136,16,58,216,4.2
2021,Wade Miley,CIN,SP,28,166,17,50,125,5.7
2021,Frankie Montas,OAK,SP,32,164,20,57,207,3.7
2021,Jose Berrios,TOR/MIN,SP,32,159,22,45,204,3.3
