player.HockeyPlayer,Season,Team,S/C,Pos,GP,G,A,P,S,S%
Auston Matthews,20202021,TOR,L,C,52,41,25,66,222,18.5
Connor McDavid,20202021,EDM,L,C,56,33,72,105,200,16.5
Alex DeBrincat,20202021,CHI,R,L,52,32,24,56,155,20.7
Leon Draisaitl,20202021,EDM,L,C,56,31,53,84,168,18.5
Mikko Rantanen,20202021,COL,L,R,52,30,36,66,177,17
Brad Marchand,20202021,BOS,L,L,53,29,40,69,143,20.3
Tyler Toffoli,20202021,MTL,R,R,52,28,16,44,158,17.7
Kirill Kaprizov,20202021,MIN,L,L,55,27,24,51,157,17.2
Aleksander Barkov,20202021,FLA,L,C,50,26,32,58,176,14.8
Kyle Connor,20202021,WPG,L,L,56,26,24,50,166,15.7
Joe Pavelski,20202021,DAL,R,C,56,25,26,51,139,18
Sam Reinhart,20202021,BUF,R,C,54,25,15,40,130,19.2
Alex Ovechkin,20202021,WSH,R,L,45,24,18,42,182,13.2
Sidney Crosby,20202021,PIT,L,C,55,24,38,62,159,15.1
Max Pacioretty,20202021,VGK,L,L,48,24,27,51,174,13.8
Ryan O'Reilly,20202021,STL,L,C,56,24,30,54,129,18.6
Mika Zibanejad,20202021,NYR,R,C,56,24,26,50,171,14
Sebastian Aho,20202021,CAR,L,C,56,24,33,57,148,16.2
Patrice Bergeron,20202021,BOS,R,C,54,23,25,48,182,12.6
Jake Guentzel,20202021,PIT,L,L,56,23,34,57,141,16.3
Brayden Point,20202021,TBL,R,C,56,23,25,48,131,17.6
Brock Boeser,20202021,VAN,R,R,56,23,26,49,141,16.3
T.J. Oshie,20202021,WSH,R,R,53,22,21,43,106,20.8
Evander Kane,20202021,SJS,L,L,56,22,27,49,194,11.3
Bryan Rust,20202021,PIT,R,R,56,22,20,42,154,14.3
Mark Stone,20202021,VGK,R,R,55,21,40,61,98,21.4
Mark Scheifele,20202021,WPG,R,C,56,21,42,63,126,16.7
Connor Brown,20202021,OTT,R,R,56,21,14,35,123,17.1
Nikolaj Ehlers,20202021,WPG,L,L,47,21,25,46,148,14.2
Phil Kessel,20202021,ARI,R,R,56,20,23,43,115,17.4
Chris Kreider,20202021,NYR,L,L,50,20,10,30,102,19.6
Nino Niederreiter,20202021,CAR,L,R,56,20,14,34,126,15.9
Gabriel Landeskog,20202021,COL,L,L,54,20,32,52,155,12.9
Jonathan Huberdeau,20202021,FLA,L,L,55,20,41,61,122,16.4
Pavel Buchnevich,20202021,NYR,L,L,54,20,28,48,120,16.7
Nathan MacKinnon,20202021,COL,R,C,48,20,45,65,206,9.7
Kevin Fiala,20202021,MIN,L,L,50,20,20,40,162,12.4
David Pastrnak,20202021,BOS,R,R,48,20,28,48,176,11.4
Mitchell Marner,20202021,TOR,R,R,55,20,47,67,156,12.8
Joel Farabee,20202021,PHI,L,L,55,20,18,38,122,16.4
David Perron,20202021,STL,R,L,56,19,39,58,151,12.6
John Tavares,20202021,TOR,L,C,56,19,31,50,163,11.7
Johnny Gaudreau,20202021,CGY,L,L,56,19,30,49,112,17
Tomas Hertl,20202021,SJS,L,C,50,19,24,43,112,17
Andre Burakovsky,20202021,COL,L,L,53,19,25,44,102,18.6
Elias Lindholm,20202021,CGY,R,C,56,19,28,47,130,14.6
Bo Horvat,20202021,VAN,L,C,56,19,20,39,131,14.5
Jakub Vrana,20202021,"WSH,DET",L,L,50,19,17,36,100,19
Joel Eriksson Ek,20202021,MIN,L,C,56,19,11,30,119,16
Brock Nelson,20202021,NYI,L,C,56,18,15,33,121,14.9
Sean Couturier,20202021,PHI,L,C,45,18,23,41,120,15
Jonathan Marchessault,20202021,VGK,R,C,55,18,26,44,176,10.2
Carter Verhaeghe,20202021,FLA,L,C,43,18,18,36,107,16.8
Oliver Bjorkstrand,20202021,CBJ,R,R,56,18,26,44,143,12.6
Alex Tuch,20202021,VGK,R,R,55,18,15,33,142,12.7
Andrew Mangiapane,20202021,CGY,L,L,56,18,14,32,91,19.8
Frank Vatrano,20202021,FLA,L,C,56,18,8,26,158,11.4
Jakob Chychrun,20202021,ARI,L,D,56,18,23,41,176,10.2
Jeff Carter,20202021,"LAK,PIT",R,C,54,17,13,30,154,11
Dustin Brown,20202021,LAK,R,R,49,17,14,31,129,13.2
James van Riemsdyk,20202021,PHI,L,L,56,17,26,43,132,12.9
Logan Couture,20202021,SJS,L,C,53,17,14,31,114,14.9
Steven Stamkos,20202021,TBL,R,C,38,17,17,34,91,18.7
Mike Hoffman,20202021,STL,L,C,52,17,19,36,113,15
Joonas Donskoi,20202021,COL,R,R,51,17,14,31,86,19.8
Vincent Trocheck,20202021,CAR,R,C,47,17,26,43,123,13.8
Yanni Gourde,20202021,TBL,L,C,56,17,19,36,118,14.4
Josh Anderson,20202021,MTL,R,R,52,17,7,24,125,13.6
Dominik Kubalik,20202021,CHI,L,L,56,17,21,38,156,10.9
Miles Wood,20202021,NJD,L,L,55,17,8,25,127,13.4
Alex Wennberg,20202021,FLA,L,C,56,17,12,29,82,20.7
William Nylander,20202021,TOR,R,R,51,17,25,42,133,12.8
Christian Dvorak,20202021,ARI,L,L,56,17,14,31,95,17.9
Pavel Zacha,20202021,NJD,L,C,50,17,18,35,103,16.5
Mathew Barzal,20202021,NYI,R,C,55,17,28,45,134,12.7
Artemi Panarin,20202021,NYR,R,L,42,17,41,58,106,16
Jason Robertson,20202021,DAL,L,L,51,17,28,45,127,13.4
Josh Norris,20202021,OTT,L,C,56,17,18,35,96,17.7
Drake Batherson,20202021,OTT,R,R,56,17,17,34,111,15.3
Brady Tkachuk,20202021,OTT,L,L,56,17,19,36,220,7.7
Claude Giroux,20202021,PHI,R,C,54,16,27,43,120,13.3
Jordan Staal,20202021,CAR,L,C,53,16,22,38,103,15.5
Jordan Eberle,20202021,NYI,R,R,55,16,17,33,128,12.5
Brayden Schenn,20202021,STL,L,C,56,16,20,36,113,14.2
Ryan Nugent-Hopkins,20202021,EDM,L,C,52,16,19,35,135,11.9
Darnell Nurse,20202021,EDM,L,D,56,16,20,36,154,10.4
Matthew Tkachuk,20202021,CGY,L,L,56,16,27,43,151,10.6
Max Comtois,20202021,ANA,L,L,55,16,17,33,94,17
Yegor Sharangovich,20202021,NJD,L,C,54,16,14,30,114,14
Blake Wheeler,20202021,WPG,R,R,50,15,31,46,113,13.3
Nicklas Backstrom,20202021,WSH,L,C,55,15,38,53,91,16.5
Alex Killorn,20202021,TBL,L,L,56,15,18,33,121,12.4
Patrick Kane,20202021,CHI,L,R,56,15,51,66,191,7.9
Cam Atkinson,20202021,CBJ,R,R,56,15,19,34,158,9.5
Zach Hyman,20202021,TOR,R,L,43,15,18,33,115,13
Ondrej Palat,20202021,TBL,L,L,55,15,31,46,111,13.5
Brandon Saad,20202021,COL,L,L,44,15,9,24,68,22.1
J.T. Miller,20202021,VAN,L,C,53,15,31,46,106,14.2
Andrew Copp,20202021,WPG,L,C,55,15,24,39,115,13
Anthony Mantha,20202021,"DET,WSH",L,R,56,15,14,29,138,10.9
