Team,Season,GP,W,L,OT,P,GF,GA,Shots/GP,SA/GP,FOW%
Tampa Bay Lightning,2018-2019,82,62,16,4,128,319,221,32.0,32.1,51.2
Washington Capitals,2016-2017,82,55,19,8,118,261,177,30.4,27.8,49.8
Nashville Predators,2017-2018,82,53,18,11,117,261,204,32.2,32.4,53.3
Winnipeg Jets,2017-2018,82,52,20,10,114,273,216,32.2,31.9,52.4
Tampa Bay Lightning,2017-2018,82,54,23,5,113,290,234,32.7,32.7,48.2
Boston Bruins,2017-2018,82,50,20,12,112,267,211,33.0,29.3,50.8
Pittsburgh Penguins,2016-2017,82,50,21,11,111,278,229,33.5,32.6,47.6
Vegas Golden Knights,2017-2018,82,51,24,7,109,268,225,32.8,30.7,48.9
Chicago Blackhawks,2016-2017,82,50,23,9,109,240,212,30.6,31.4,47.5
Columbus Blue Jackets,2016-2017,82,50,24,8,108,247,193,31.0,30.4,48.6
Calgary Flames,2018-2019,82,50,25,7,107,289,223,32.4,28.1,52.4
Boston Bruins,2018-2019,82,49,24,9,107,257,212,32.7,29.5,50.7
Minnesota Wild,2016-2017,82,49,25,8,106,263,206,30.8,30.1,52.0
Toronto Maple Leafs,2017-2018,82,49,26,7,105,270,230,32.2,33.9,51.8
Washington Capitals,2017-2018,82,49,26,7,105,256,238,29.0,31.9,50.4
Anaheim Ducks,2016-2017,82,46,23,13,105,220,197,29.6,29.6,54.7
Washington Capitals,2018-2019,82,48,26,8,104,274,248,30.4,31.5,45.7
New York Islanders,2018-2019,82,48,27,7,103,223,191,28.8,30.9,47.4
Montreal Canadien,2016-2017,82,47,26,9,103,223,198,30.0,29.6,50.3
Edmonton Oilers,2016-2017,82,47,26,9,103,243,207,31.1,29.5,47.0
New York Rangers,2016-2017,82,48,28,6,102,253,216,29.7,30.1,48.4
San Jose Sharks,2018-2019,82,46,27,9,101,289,258,33.0,28.3,50.3
Minnesota Wild,2017-2018,82,45,26,11,101,250,229,30.2,31.3,49.8
Anaheim Ducks,2017-2018,82,44,25,13,101,231,209,30.2,33.1,51.3
Pittsburgh Penguins,2017-2018,82,47,29,6,100,270,248,34.4,31.1,50.3
Nashville Predators,2018-2019,82,47,29,6,100,236,212,32.7,30.0,51.5
Toronto Maple Leafs,2018-2019,82,46,28,8,100,286,249,33.4,33.1,53.0
San Jose Sharks,2017-2018,82,45,27,10,100,247,226,33.0,30.3,51.3
Pittsburgh Penguins,2018-2019,82,44,26,12,100,271,238,33.3,33.3,50.6
Boston Bruins,2019-2020,70,44,14,12,100,227,167,32.1,30.0,51.0
Winnipeg Jets,2018-2019,82,47,30,5,99,270,243,31.2,33.4,50.7
Carolina Hurricanes,2018-2019,82,46,29,7,99,243,221,34.4,28.6,49.0
St. Louis Blues,2016-2017,82,46,29,7,99,233,216,28.4,28.4,50.3
San Jose Sharks,2016-2017,82,46,29,7,99,219,200,29.9,27.7,48.1
St. Louis Blues,2018-2019,82,45,28,9,99,244,220,31.8,28.6,51.4
Columbus Blue Jackets,2018-2019,82,47,31,4,98,256,231,31.6,29.5,50.3
Los Angeles Kings,2017-2018,82,45,29,8,98,237,202,31.0,30.9,49.7
Ottawa Senators,2016-2017,82,44,28,10,98,206,210,30.0,30.1,51.0
Philadelphia Flyers,2017-2018,82,42,26,14,98,249,236,32.1,29.9,53.3
Columbus Blue Jackets,2017-2018,82,45,30,7,97,236,226,33.7,31.3,48.4
New Jersey Devils,2017-2018,82,44,29,9,97,243,240,31.7,31.9,47.0
Montreal Canadien,2018-2019,82,44,30,8,96,246,236,34.1,31.1,49.4
Florida Panthers,2017-2018,82,44,30,8,96,245,243,34.4,34.6,50.7
Boston Bruins,2016-2017,82,44,31,7,95,232,209,33.2,26.8,53.2
Colorado Avalanche,2017-2018,82,43,30,9,95,255,236,29.7,33.3,44.2
Toronto Maple Leafs,2016-2017,82,40,27,15,95,250,234,31.9,32.6,49.9
Calgary Flames,2016-2017,82,45,33,4,94,222,219,29.1,28.7,48.9
St. Louis Blues,2017-2018,82,44,32,6,94,223,222,32.6,29.7,50.6
Tampa Bay Lightning,2016-2017,82,42,30,10,94,230,224,29.9,30.4,47.7
St. Louis Blues,2019-2020,71,42,19,10,94,223,190,30.7,29.6,51.6
New York Islanders,2016-2017,82,41,29,12,94,239,238,30.2,31.9,47.7
Nashville Predators,2016-2017,82,41,29,12,94,238,220,31.2,30.1,51.4
Dallas Stars,2018-2019,82,43,32,7,93,209,200,30.7,31.6,51.9
Vegas Golden Knights,2018-2019,82,43,32,7,93,246,228,34.3,29.3,50.4
Tampa Bay Lightning,2019-2020,70,43,21,6,92,243,194,31.1,30.9,50.5
Colorado Avalanche,2019-2020,70,42,20,8,92,236,190,32.2,31.3,49.6
Dallas Stars,2017-2018,82,42,32,8,92,231,222,31.2,29.8,52.5
Washington Capitals,2019-2020,69,41,20,8,90,236,212,32.0,30.2,48.3
Colorado Avalanche,2018-2019,82,38,30,14,90,258,244,32.6,31.9,48.1
Philadelphia Flyers,2019-2020,69,41,21,7,89,227,191,31.4,28.7,54.6
Philadelphia Flyers,2016-2017,82,39,33,10,88,212,231,31.5,28.5,52.3
Winnipeg Jets,2016-2017,82,40,35,7,87,246,255,29.9,31.0,48.5
Carolina Hurricanes,2016-2017,82,36,31,15,87,212,230,30.4,28.3,53.1
Pittsburgh Penguins,2019-2020,69,40,23,6,86,221,196,31.9,29.7,48.9
Los Angeles Kings,2016-2017,82,39,35,8,86,199,201,31.1,25.9,50.8
Arizona Coyotes,2018-2019,82,39,35,8,86,209,220,30.7,30.8,47.9
Vegas Golden Knights,2019-2020,71,39,24,8,86,224,209,34.5,29.3,50.0
Florida Panthers,2018-2019,82,36,32,14,86,264,273,33.0,30.7,49.8
Calgary Flames,2017-2018,82,37,35,10,84,216,243,33.6,31.1,49.4
Chicago Blackhawks,2018-2019,82,36,34,12,84,267,291,32.5,34.8,49.5
Edmonton Oilers,2019-2020,71,37,25,9,83,223,215,29.6,32.0,49.0
Minnesota Wild,2018-2019,82,37,36,9,83,210,233,31.3,29.5,49.4
Carolina Hurricanes,2017-2018,82,36,35,11,83,225,253,33.9,28.9,54.1
Vegas Golden Knights,2020-2021,56,40,14,2,82,190,122,32.7,27.3,49.5
